,degree,betweenness,eigenvector
Lorraine Miller,0.002793296089385475,0.0,0.0040844050005203955
Debbie Wasserman Schultz,0.002793296089385475,0.0,0.0040844050005203955
Tim Canova,0.002793296089385475,0.0,0.0040844050005203955
Leigh Appleby,0.002793296089385475,0.0,0.0040844050005203955
Appleby,0.002793296089385475,0.0,0.0040844050005203955
Mitch McConnell,0.002793296089385475,0.0,0.003457110669577228
Harry M. Reid,0.002793296089385475,0.0,0.003457110669577228
D-Nev,0.002793296089385475,0.0,0.003457110669577228
John A. Boehner,0.002793296089385475,0.0,0.003457110669577228
Reid,0.002793296089385475,0.0,0.003457110669577228
Adam Jentleson,0.002793296089385475,0.0,0.003457110669577228
Alben W. Barkley,0.002793296089385475,0.0,0.003457110669577228
Franklin D. Roosevelt,0.002793296089385475,0.0,0.003457110669577228
George Mitchell,0.002793296089385475,0.0,0.003457110669577228
Mitchell,0.002793296089385475,0.0,0.003457110669577228
George H.W. Bush,0.002793296089385475,0.0,0.003457110669577228
Laurent Fabius,0.002793296089385475,0.0,0.0013464250317172647
Noor Zahi Salman,0.002793296089385475,0.0,0.001272941708414812
Omar Mateen,0.002793296089385475,0.0,0.001272941708414812
Angus King,0.002793296089385475,0.0,0.001272941708414812
Peter King,0.002793296089385475,0.0,0.001272941708414812
Buddy Dyer,0.002793296089385475,0.0,0.001272941708414812
Patience Carter,0.002793296089385475,0.0,0.001272941708414812
Carter,0.002793296089385475,0.0,0.001272941708414812
Matthew Gentili,0.002793296089385475,0.0,0.001272941708414812
Sara Brady,0.002793296089385475,0.0,0.001272941708414812
Sitora Yusufiy,0.002793296089385475,0.0,0.001272941708414812
Seddique Mateen,0.002793296089385475,0.0,0.001272941708414812
Dr Chadwick Smith,0.002793296089385475,0.0,0.001272941708414812
Valls,0.002793296089385475,0.0,0.000791215179981655
Chérif Kouachi,0.002793296089385475,0.0,0.000791215179981655
Gandhi,0.002793296089385475,0.0,0.0006826445292550076
Pamela Geller,0.002793296089385475,0.0,5.891208102442037e-05
Gordon Coonfield,0.002793296089385475,0.0,5.891208102442037e-05
Cartoon Contest,0.002793296089385475,0.0,5.891208102442037e-05
Coonfield,0.002793296089385475,0.0,5.891208102442037e-05
Muhammad,0.002793296089385475,0.0,5.891208102442037e-05
Der Ewige Jude,0.002793296089385475,0.0,5.891208102442037e-05
Hitler,0.002793296089385475,0.0,5.891208102442037e-05
Linda Sarsour,0.002793296089385475,0.0,5.891208102442037e-05
Sarsour,0.002793296089385475,0.0,5.891208102442037e-05
Baylee Luciani,0.002793296089385475,0.0,1.3098310830606622e-15
Yale Gerstein,0.002793296089385475,0.0,1.3098310830606622e-15
Jonathan Newman,0.002793296089385475,0.0,1.2251285297468336e-16
